state_name,state_id,district_name,lg_dt_code,medium,micro,small,total
"WEST BENGAL",19,"UTTAR DINAJPUR",311,27,29400,891,30318
DELHI,7,CENTRAL,77,674,42027,4987,47688
DELHI,7,"SOUTH ",83,723,71478,4952,77153
"JAMMU AND KASHMIR",1,BARAMULLA,3,6,33664,263,33933
"JAMMU AND KASHMIR",1,KISHTWAR,620,0,6449,32,6481
"JAMMU AND KASHMIR",1,KUPWARA,8,5,19684,82,19771
"JAMMU AND KASHMIR",1,RAMBAN,621,1,8104,43,8148
LADAKH,37,KARGIL,6,0,3981,32,4013
PUDUCHERRY,34,KARAIKAL,598,10,5930,103,6043
PUDUCHERRY,34,MAHE,599,9,518,36,563
PUDUCHERRY,34,YANAM,601,10,558,27,595
"THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU",38,DIU,464,1,637,33,671
